ID,Economy,Code,Region,Income_group,WBL_Report_Year,WBL_INDEX,MOBILITY,passport,travel_outside_country,travel_outside_home,choose__live,WORKPLACE,get__job,prohibit_discrimination__employment,sexual_harassment_employment,penalties_sexual_harassment_employment,PAY,equal_remuneration,work__night,_jobs_deemed_dangerous,work_ndustries,MARRIAGE,woman_obey__husband,head_family,domestic_violence,divorce,remarry,PARENTHOOD,paid_available_mothers,maternity_benefits,paid__fathers,paid_parental,pregnant_workers_prohibited,ENTREPRENEURSHIP,sign_contract,register_business,bank_account,prohibit_discrimination_credit,ASSETS,ownership_immovable_property,equal_inherit,spouses_equal_inherit,spouses_equal_administrative,nonmonetary_contributions,PENSION,pension_benefits_equal,partial_pension_benefits,mandatory_retirement,_childcare_pension_benefits
BEL1971,Belgium,BEL,High income: OECD,High income,1971,38.1,75,true,true,true,false,0,false,false,false,false,0,false,false,false,false,60,true,true,false,true,false,60,true,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,50,false,false,true,true
BEL1972,Belgium,BEL,High income: OECD,High income,1972,38.1,75,true,true,true,false,0,false,false,false,false,0,false,false,false,false,60,true,true,false,true,false,60,true,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,50,false,false,true,true
BEL1973,Belgium,BEL,High income: OECD,High income,1973,40.6,75,true,true,true,false,0,false,false,false,false,0,false,false,false,false,80,true,true,false,true,true,60,true,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,50,false,false,true,true
BEL1974,Belgium,BEL,High income: OECD,High income,1974,40.6,75,true,true,true,false,0,false,false,false,false,0,false,false,false,false,80,true,true,false,true,true,60,true,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,50,false,false,true,true
BEL1975,Belgium,BEL,High income: OECD,High income,1975,40.6,75,true,true,true,false,0,false,false,false,false,0,false,false,false,false,80,true,true,false,true,true,60,true,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,50,false,false,true,true
BEL1976,Belgium,BEL,High income: OECD,High income,1976,40.6,75,true,true,true,false,0,false,false,false,false,0,false,false,false,false,80,true,true,false,true,true,60,true,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,50,false,false,true,true
BEL1977,Belgium,BEL,High income: OECD,High income,1977,40.6,75,true,true,true,false,0,false,false,false,false,0,false,false,false,false,80,true,true,false,true,true,60,true,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,50,false,false,true,true
CHL1971,Chile,CHL,High income: OECD,High income,1971,33.8,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1972,Chile,CHL,High income: OECD,High income,1972,33.8,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1973,Chile,CHL,High income: OECD,High income,1973,33.8,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1974,Chile,CHL,High income: OECD,High income,1974,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1975,Chile,CHL,High income: OECD,High income,1975,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1976,Chile,CHL,High income: OECD,High income,1976,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1977,Chile,CHL,High income: OECD,High income,1977,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1978,Chile,CHL,High income: OECD,High income,1978,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1979,Chile,CHL,High income: OECD,High income,1979,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1980,Chile,CHL,High income: OECD,High income,1980,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1981,Chile,CHL,High income: OECD,High income,1981,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1982,Chile,CHL,High income: OECD,High income,1982,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1983,Chile,CHL,High income: OECD,High income,1983,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1984,Chile,CHL,High income: OECD,High income,1984,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1985,Chile,CHL,High income: OECD,High income,1985,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1986,Chile,CHL,High income: OECD,High income,1986,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1987,Chile,CHL,High income: OECD,High income,1987,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1988,Chile,CHL,High income: OECD,High income,1988,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1989,Chile,CHL,High income: OECD,High income,1989,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
CHL1990,Chile,CHL,High income: OECD,High income,1990,36.3,75,true,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,false,false,true,false,60,true,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,50,false,true,true,false
ESP1971,Spain,ESP,High income: OECD,High income,1971,33.8,50,false,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,true,false,false,false,40,false,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
ESP1972,Spain,ESP,High income: OECD,High income,1972,33.8,50,false,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,true,false,false,false,40,false,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
ESP1973,Spain,ESP,High income: OECD,High income,1973,33.8,50,false,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,true,false,false,false,40,false,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
ESP1974,Spain,ESP,High income: OECD,High income,1974,33.8,50,false,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,true,false,false,false,40,false,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
ESP1975,Spain,ESP,High income: OECD,High income,1975,33.8,50,false,true,true,false,0,false,false,false,false,25,false,true,false,false,20,false,true,false,false,false,40,false,true,true,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
LUX1971,Luxembourg,LUX,High income: OECD,High income,1971,42.5,75,true,true,true,false,0,false,false,false,false,50,false,true,true,false,60,false,true,false,true,true,20,false,true,false,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
LUX1972,Luxembourg,LUX,High income: OECD,High income,1972,42.5,75,true,true,true,false,0,false,false,false,false,50,false,true,true,false,60,false,true,false,true,true,20,false,true,false,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
LUX1973,Luxembourg,LUX,High income: OECD,High income,1973,42.5,75,true,true,true,false,0,false,false,false,false,50,false,true,true,false,60,false,true,false,true,true,20,false,true,false,false,false,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
PRT1971,Portugal,PRT,High income: OECD,High income,1971,39.4,50,false,true,true,false,0,false,false,false,false,50,false,true,true,false,40,true,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
PRT1972,Portugal,PRT,High income: OECD,High income,1972,39.4,50,false,true,true,false,0,false,false,false,false,50,false,true,true,false,40,true,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
PRT1973,Portugal,PRT,High income: OECD,High income,1973,39.4,50,false,true,true,false,0,false,false,false,false,50,false,true,true,false,40,true,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
PRT1974,Portugal,PRT,High income: OECD,High income,1974,39.4,50,false,true,true,false,0,false,false,false,false,50,false,true,true,false,40,true,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
PRT1975,Portugal,PRT,High income: OECD,High income,1975,39.4,50,false,true,true,false,0,false,false,false,false,50,false,true,true,false,40,true,false,false,true,false,40,false,true,false,false,true,0,false,false,false,false,60,false,true,true,false,true,75,true,true,true,false
